Date,State.UnionTerritory,Confirmed,DailyCases
09-03-2020,Karnataka,1,1
10-03-2020,Karnataka,4,3
11-03-2020,Karnataka,4,0
12-03-2020,Karnataka,4,0
13-03-2020,Karnataka,6,2
14-03-2020,Karnataka,6,0
15-03-2020,Karnataka,6,0
16-03-2020,Karnataka,6,0
17-03-2020,Karnataka,11,5
18-03-2020,Karnataka,11,0
19-03-2020,Karnataka,14,3
20-03-2020,Karnataka,15,1
21-03-2020,Karnataka,15,0
22-03-2020,Karnataka,26,11
23-03-2020,Karnataka,33,7
24-03-2020,Karnataka,37,4
25-03-2020,Karnataka,41,4
26-03-2020,Karnataka,55,14
27-03-2020,Karnataka,55,0
28-03-2020,Karnataka,55,0
29-03-2020,Karnataka,76,21
30-03-2020,Karnataka,83,7
31-03-2020,Karnataka,83,0
01-04-2020,Karnataka,101,18
02-04-2020,Karnataka,110,9
03-04-2020,Karnataka,124,14
04-04-2020,Karnataka,128,4
05-04-2020,Karnataka,144,16
06-04-2020,Karnataka,151,7
07-04-2020,Karnataka,175,24
08-04-2020,Karnataka,175,0
09-04-2020,Karnataka,181,6
10-04-2020,Karnataka,197,16
11-04-2020,Karnataka,214,17
12-04-2020,Karnataka,226,12
13-04-2020,Karnataka,247,21
14-04-2020,Karnataka,258,11
15-04-2020,Karnataka,277,19
16-04-2020,Karnataka,315,38
17-04-2020,Karnataka,353,38
18-04-2020,Karnataka,371,18
19-04-2020,Karnataka,384,13
20-04-2020,Karnataka,395,11
21-04-2020,Karnataka,415,20
22-04-2020,Karnataka,425,10
23-04-2020,Karnataka,443,18
24-04-2020,Karnataka,463,20
25-04-2020,Karnataka,489,26
26-04-2020,Karnataka,501,12
27-04-2020,Karnataka,511,10
28-04-2020,Karnataka,520,9
29-04-2020,Karnataka,532,12
30-04-2020,Karnataka,557,25
01-05-2020,Karnataka,576,19
02-05-2020,Karnataka,589,13
03-05-2020,Karnataka,606,17
04-05-2020,Karnataka,642,36
05-05-2020,Karnataka,659,17
06-05-2020,Karnataka,671,12
07-05-2020,Karnataka,693,22
08-05-2020,Karnataka,705,12
09-05-2020,Karnataka,753,48
10-05-2020,Karnataka,794,41
11-05-2020,Karnataka,848,54
12-05-2020,Karnataka,862,14
13-05-2020,Karnataka,925,63
14-05-2020,Karnataka,959,34
15-05-2020,Karnataka,987,28
16-05-2020,Karnataka,1056,69
17-05-2020,Karnataka,1092,36
18-05-2020,Karnataka,1147,55
19-05-2020,Karnataka,1246,99
20-05-2020,Karnataka,1397,151
21-05-2020,Karnataka,1462,65
22-05-2020,Karnataka,1605,143
23-05-2020,Karnataka,1743,138
24-05-2020,Karnataka,1959,216
25-05-2020,Karnataka,2089,130
26-05-2020,Karnataka,2182,93
27-05-2020,Karnataka,2283,101
28-05-2020,Karnataka,2418,135
29-05-2020,Karnataka,2533,115
30-05-2020,Karnataka,2781,248
31-05-2020,Karnataka,2922,141
01-06-2020,Karnataka,3221,299
02-06-2020,Karnataka,3408,187
03-06-2020,Karnataka,3796,388
04-06-2020,Karnataka,4063,267
05-06-2020,Karnataka,4320,257
06-06-2020,Karnataka,4835,515
07-06-2020,Karnataka,5213,378
08-06-2020,Karnataka,5452,239
09-06-2020,Karnataka,5760,308
10-06-2020,Karnataka,5921,161
11-06-2020,Karnataka,6041,120
12-06-2020,Karnataka,6245,204
13-06-2020,Karnataka,6516,271
14-06-2020,Karnataka,6824,308
15-06-2020,Karnataka,7000,176
16-06-2020,Karnataka,7213,213
17-06-2020,Karnataka,7530,317
18-06-2020,Karnataka,7734,204
19-06-2020,Karnataka,7944,210
20-06-2020,Karnataka,8281,337
21-06-2020,Karnataka,8697,416
22-06-2020,Karnataka,9150,453
23-06-2020,Karnataka,9399,249
24-06-2020,Karnataka,9721,322
25-06-2020,Karnataka,10118,397
26-06-2020,Karnataka,10560,442
27-06-2020,Karnataka,11005,445
28-06-2020,Karnataka,11923,918
29-06-2020,Karnataka,13190,1267
30-06-2020,Karnataka,14295,1105
01-07-2020,Karnataka,15242,947
02-07-2020,Karnataka,16514,1272
03-07-2020,Karnataka,18016,1502
04-07-2020,Karnataka,19710,1694
05-07-2020,Karnataka,21549,1839
06-07-2020,Karnataka,23474,1925
07-07-2020,Karnataka,25317,1843
08-07-2020,Karnataka,26815,1498
09-07-2020,Karnataka,28877,2062
10-07-2020,Karnataka,31105,2228
11-07-2020,Karnataka,33418,2313
12-07-2020,Karnataka,36216,2798
13-07-2020,Karnataka,38843,2627
14-07-2020,Karnataka,41581,2738
15-07-2020,Karnataka,44077,2496
16-07-2020,Karnataka,47253,3176
17-07-2020,Karnataka,51422,4169
18-07-2020,Karnataka,55115,3693
19-07-2020,Karnataka,59652,4537
20-07-2020,Karnataka,63772,4120
21-07-2020,Karnataka,67420,3648
22-07-2020,Karnataka,71069,3649
23-07-2020,Karnataka,75833,4764
24-07-2020,Karnataka,80863,5030
25-07-2020,Karnataka,85870,5007
26-07-2020,Karnataka,90942,5072
27-07-2020,Karnataka,96141,5199
28-07-2020,Karnataka,101465,5324
29-07-2020,Karnataka,107001,5536
30-07-2020,Karnataka,112504,5503
31-07-2020,Karnataka,118632,6128
01-08-2020,Karnataka,124115,5483
02-08-2020,Karnataka,129287,5172
03-08-2020,Karnataka,134819,5532
04-08-2020,Karnataka,139571,4752
05-08-2020,Karnataka,145830,6259
06-08-2020,Karnataka,151449,5619
07-08-2020,Karnataka,158254,6805
08-08-2020,Karnataka,164924,6670
09-08-2020,Karnataka,172102,7178
10-08-2020,Karnataka,178087,5985
11-08-2020,Karnataka,182354,4267
12-08-2020,Karnataka,188611,6257
13-08-2020,Karnataka,196494,7883
14-08-2020,Karnataka,203200,6706
15-08-2020,Karnataka,211108,7908
16-08-2020,Karnataka,219926,8818
17-08-2020,Karnataka,226966,7040
18-08-2020,Karnataka,233283,6317
19-08-2020,Karnataka,240948,7665
20-08-2020,Karnataka,249590,8642
21-08-2020,Karnataka,256975,7385
22-08-2020,Karnataka,264546,7571
23-08-2020,Karnataka,271876,7330
24-08-2020,Karnataka,277814,5938
25-08-2020,Karnataka,283665,5851
26-08-2020,Karnataka,291826,8161
27-08-2020,Karnataka,300406,8580
28-08-2020,Karnataka,309792,9386
29-08-2020,Karnataka,318752,8960
30-08-2020,Karnataka,327076,8324
31-08-2020,Karnataka,335928,8852
01-09-2020,Karnataka,342423,6495
02-09-2020,Karnataka,351481,9058
03-09-2020,Karnataka,361341,9860
04-09-2020,Karnataka,370206,8865
05-09-2020,Karnataka,379486,9280
06-09-2020,Karnataka,389232,9746
07-09-2020,Karnataka,398551,9319
08-09-2020,Karnataka,404324,5773
09-09-2020,Karnataka,412190,7866
10-09-2020,Karnataka,421730,9540
11-09-2020,Karnataka,430947,9217
12-09-2020,Karnataka,440411,9464
13-09-2020,Karnataka,449551,9140
14-09-2020,Karnataka,459445,9894
15-09-2020,Karnataka,467689,8244
16-09-2020,Karnataka,475265,7576
17-09-2020,Karnataka,484990,9725
18-09-2020,Karnataka,494356,9366
19-09-2020,Karnataka,502982,8626
20-09-2020,Karnataka,511346,8364
21-09-2020,Karnataka,519537,8191
22-09-2020,Karnataka,526876,7339
23-09-2020,Karnataka,533850,6974
24-09-2020,Karnataka,540847,6997
25-09-2020,Karnataka,548557,7710
26-09-2020,Karnataka,557212,8655
27-09-2020,Karnataka,566023,8811
28-09-2020,Karnataka,575566,9543
29-09-2020,Karnataka,582458,6892
30-09-2020,Karnataka,592911,10453
01-10-2020,Karnataka,601767,8856
02-10-2020,Karnataka,611837,10070
03-10-2020,Karnataka,620630,8793
04-10-2020,Karnataka,630516,9886
05-10-2020,Karnataka,640661,10145
06-10-2020,Karnataka,647712,7051
07-10-2020,Karnataka,657705,9993
08-10-2020,Karnataka,668652,10947
09-10-2020,Karnataka,679356,10704
10-10-2020,Karnataka,690269,10913
11-10-2020,Karnataka,700786,10517
12-10-2020,Karnataka,710309,9523
13-10-2020,Karnataka,717915,7606
14-10-2020,Karnataka,726106,8191
15-10-2020,Karnataka,735371,9265
16-10-2020,Karnataka,743848,8477
17-10-2020,Karnataka,751390,7542
18-10-2020,Karnataka,758574,7184
19-10-2020,Karnataka,765586,7012
20-10-2020,Karnataka,770604,5018
21-10-2020,Karnataka,776901,6297
22-10-2020,Karnataka,782773,5872
23-10-2020,Karnataka,788551,5778
24-10-2020,Karnataka,793907,5356
25-10-2020,Karnataka,798378,4471
26-10-2020,Karnataka,802817,4439
27-10-2020,Karnataka,805947,3130
28-10-2020,Karnataka,809638,3691
29-10-2020,Karnataka,812784,3146
30-10-2020,Karnataka,816809,4025
