symbol,series,last_corp_announcement_date,last_corp_announcement,open_price,high_price,low_price,last_traded_price,prev_close_price,percent_change,traded_quantity,turnover_in_lakhs,timestamp
UPL,EQ,14-07-2021,Dividend - Rs 10 Per Share,746.25,774,741.1,771.5,746.35,3.37,6430811,49244.58,11-11-2021 09:00
BHARTIARTL,EQ,27-09-2021,Rights 1:14 @ Premium Rs 530/-,717.5,738,707.35,736.6,713.2,3.28,15180490,110381.9,11-11-2021 09:00
M&M,EQ,15-07-2021,Annual General Meeting/Dividend - Rs 8.75 Per Share,905.9,925,895,918.6,892.15,2.96,17083220,156352.46,11-11-2021 09:00
BRITANNIA,EQ,30-08-2021,Annual General Meeting,3629.45,3720,3600,3695,3621.6,2.03,706755,26041.94,11-11-2021 09:00
RELIANCE,EQ,11-06-2021,Dividend - Rs 7 Per Share,2516.7,2558,2503.65,2546.45,2521.7,0.98,4731975,120127.34,11-11-2021 09:00
ITC,EQ,10-06-2021,Dividend - Rs 5.75 Per Share,227.45,232.85,227.2,230.75,228.75,0.87,13431108,30961.39,11-11-2021 09:00
GRASIM,EQ,12-08-2021,Annual General Meeting/Dividend - Rs 5  Per Share/ Special Dividend - Rs 4 Per Share,1846.9,1879.4,1842,1878.55,1863.85,0.79,505300,9400.3,11-11-2021 09:00
ONGC,EQ,08-09-2021,Dividend - Rs 1.85 Per Share,156.7,158.7,156.45,157.85,156.65,0.77,13900618,21904.59,11-11-2021 09:00
SUNPHARMA,EQ,23-08-2021,Annual General Meeting/Dividend - Rs 2 Per Share,799.75,815,797,807.5,801.35,0.77,2900645,23471.15,11-11-2021 09:00
EICHERMOT,EQ,09-08-2021,Annual General Meeting/Dividend - Rs 17 Per Share,2720,2765.55,2710,2745,2724.25,0.76,861635,23658.08,11-11-2021 09:00
UPL,EQ,14-07-2021,Dividend - Rs 10 Per Share,746.25,774,741.1,771.5,746.35,3.37,6430811,49244.58,11-11-2021 09:10
BHARTIARTL,EQ,27-09-2021,Rights 1:14 @ Premium Rs 530/-,717.5,738,707.35,736.6,713.2,3.28,15180490,110381.9,11-11-2021 09:10
M&M,EQ,15-07-2021,Annual General Meeting/Dividend - Rs 8.75 Per Share,905.9,925,895,918.6,892.15,2.96,17083220,156352.46,11-11-2021 09:10
BRITANNIA,EQ,30-08-2021,Annual General Meeting,3629.45,3720,3600,3695,3621.6,2.03,706755,26041.94,11-11-2021 09:10
RELIANCE,EQ,11-06-2021,Dividend - Rs 7 Per Share,2516.7,2558,2503.65,2546.45,2521.7,0.98,4731975,120127.34,11-11-2021 09:10
ITC,EQ,10-06-2021,Dividend - Rs 5.75 Per Share,227.45,232.85,227.2,230.75,228.75,0.87,13431108,30961.39,11-11-2021 09:10
GRASIM,EQ,12-08-2021,Annual General Meeting/Dividend - Rs 5  Per Share/ Special Dividend - Rs 4 Per Share,1846.9,1879.4,1842,1878.55,1863.85,0.79,505300,9400.3,11-11-2021 09:10
ONGC,EQ,08-09-2021,Dividend - Rs 1.85 Per Share,156.7,158.7,156.45,157.85,156.65,0.77,13900618,21904.59,11-11-2021 09:10
SUNPHARMA,EQ,23-08-2021,Annual General Meeting/Dividend - Rs 2 Per Share,799.75,815,797,807.5,801.35,0.77,2900645,23471.15,11-11-2021 09:10
EICHERMOT,EQ,09-08-2021,Annual General Meeting/Dividend - Rs 17 Per Share,2720,2765.55,2710,2745,2724.25,0.76,861635,23658.08,11-11-2021 09:10
IOC,EQ,11-11-2021,Interim Dividend - Rs 5 Per Share,139.4,141.3,138.7,139.7,139.7,3.9,10244603,14335.27,11-11-2021 09:15
BPCL,EQ,11-11-2021,Interim Dividend - Rs 5 Per Share,432,434,430.15,430.75,430.5,1.06,3282554,14170.46,11-11-2021 09:15
GRASIM,EQ,12-08-2021,Annual General Meeting/Dividend - Rs 5  Per Share/ Special Dividend - Rs 4 Per Share,1846.9,1879.4,1842,1878.55,1863.85,0.22,505300,9400.3,11-11-2021 09:15
BAJAJ-AUTO,EQ,08-07-2021,Annual General Meeting/Dividend - Rs 140 Per Share,3790,3801.6,3744,3780,3794.45,0.22,373526,14063.63,11-11-2021 09:15
HDFCLIFE,EQ,30-06-2021,Dividend - Rs 2.02 Per Sh,705.5,708,700.6,708,706.45,0.21,2077910,14649.68,11-11-2021 09:15
